SONG NAME,ARTIST NAME
Like An Eagle,Nancy Whang & Audiojack 
Love songs   ,Dj Dodger Stadium 
Can’t Do Without You ,Caribou
Dangerous days ,Zola Jesus 
Mesmerize,Temples
Country Kills  ,Popstrangers
Old 45’s   ,Chromeo
It’s better for you  Shafiq Husayn feat. Anderson Paak ,
Pray for Newtown ,Sun Kil Moon 
I can’t live without my mother’s love  ,Sun Kil Moon 
Things behind the sun   ,Dave Harrington (Darkside) feat Tamara
Going home  ,Marianne Faithfull
I’m glad I found you ,Neil young 
Transgender Dysphoria Blues  ,Against Me 
All due respect  ,Run The Jewels 
Early,Run The Jewels 
Close Your Eyes (And Count To F**k) ,Run The Jewels feat. Zack de la Rocha 
Digital Witness,St Vincent 
Luna,Bombay Bicycle Club 
Carry on phenomenon ,Kishi Bashi 
Another love  ,Prince & 3rdeyegirl 
I,Kendrick Lamar 
We do it  ,Jurassic 5
Under the pressure ,The War On Drugs 
Red eyes  ,The War On Drugs 
Weigh true words  ,I Break Horses 
Tied  Up Tied Down ,Teen
America here’s my boy  ,Beck & Swamp Dogg 
Sacrilege,Yeah Yeah Yeahs 
Tough Luck ,Eagulls
Bagboy,Pixies
Another Toe  ,Pixies
Ancient Civilization  ,Screaming Females 
Wenu Wenu ,Omar Souleyman
Get Lucky ,Daft Punk feat. Pharell Williams 
Doin’ it right  ,Daft Punk feat. Panda Bear
One Way Trigger ,The Strokes 
All the time ,The Strokes 
Just make it stop ,Low
Paradise Mislaid  ,Julian Cope 
Denial,I Break Horses 
Water Me,FKA Twigs 
Play By Play ,Autre Ne Veut 
Darkness,King Khan & The Shrines 
Ironworks ,Baths
Porcelain,Snowbird
Retrograde,James Blake 
Right Action ,Franz Ferdinand 
I can hardly make you mine  ,Cults